Title,Stock,Sentiment,Price Change,Direction
"AI Fever Cools, Sending Nasdaq 100 Into $1 Trillion Tailspin",AAPL,0.0,-0.2324066162109375,0
"Magnificent Seven Stocks: Nvidia Stock Dives Below Key Level; Tesla, Google Sell Off On Earnings",AAPL,0.5994,-0.6100006103515625,0
Apple Maps launches on the web to challenge Google Maps,AAPL,0.0772,0.3441925048828125,1
"Apple’s AI iPhone Could Boost Sales, but One Bear Isn’t Swayed",AAPL,0.2144,-0.469207763671875,0
"UBS: ""Foldable iPhones"" not likely to drive iPhone demand",AAPL,-0.128,-0.655792236328125,0
"Amphenol's (APH) Q2 Earnings Beat Estimates, Revenues Up Y/Y",AAPL,0.0,-1.4040069580078125,0
The hot AI trade is entering a danger zone: Morgan Stanley chief investment officer,AAPL,-0.5267,0.25,1
Apple App Store Practices Under Scrutiny In Spain For Anti-Competitive Behavior,AAPL,0.0,-0.6399993896484375,0
"AI Fever Cools, Sending Nasdaq 100 Into $1 Trillion Tailspin",MSFT,0.0,0.089996337890625,1
CrowdStrike Admits Bug Caused Massive Global IT Outages,MSFT,0.296,0.089996337890625,1
"Magnificent Seven Stocks: Nvidia Stock Dives Below Key Level; Tesla, Google Sell Off On Earnings",MSFT,0.5994,-1.670013427734375,0
Sector Update: Tech,MSFT,0.0,-1.39007568359375,0
Activision Blizzard's 'World of Warcraft' game developers vote to unionize,MSFT,0.0,-1.39007568359375,0
"Nobel Laureate on Musk, new home sales fall short: Wealth!",MSFT,0.5411,-1.39007568359375,0
Bing previews its answer to Google's AI Overviews,MSFT,0.0,-0.20001220703125,0
Market Chatter: Microsoft Unlikely to Limit CrowdStrike Access to Windows,MSFT,0.0,-0.20001220703125,0
Expect 'choppy' Q2 earnings for tech: Deepwater's Clinton,GOOGL,0.0,0.2700042724609375,1
"AI Fever Cools, Sending Nasdaq 100 Into $1 Trillion Tailspin",GOOGL,0.0,-0.3079986572265625,0
"S&P 500, Nasdaq fall off in worst trading day of 2024",GOOGL,-0.6249,-0.3079986572265625,0
"Google Delivers Mixed Q2 Results As Margins, Search Ads Beat, YouTube Misses",GOOGL,-0.2263,-0.3079986572265625,0
"Why Artificial Intelligence (AI) Chip Stocks Broadcom, Taiwan Semiconductor Manufacturing, and Arm Holdings Plunged Today",GOOGL,0.4767,-0.3079986572265625,0
"US Equities Markets End Lower Wednesday as Markets Evaluate Tesla, Alphabet Earnings",GOOGL,-0.296,0.0879974365234375,1
Why Nvidia Stock Is Sinking Again Today,GOOGL,0.0,-0.790008544921875,0
"Tesla, Alphabet Sell-Offs Weigh on Nasdaq, S&P 500",GOOGL,0.0,-0.790008544921875,0
"If You Invested $1000 In Amazon Stock 20 Years Ago, How Much Would You Have Now?",AMZN,0.1779,-0.19000244140625,0
Amazon (AMZN) is an Incredible Growth Stock: 3 Reasons Why,AMZN,0.5106,-0.1150054931640625,0
Will Amazon (AMZN) Beat Estimates Again in Its Next Earnings Report?,AMZN,0.1779,-1.625,0
"Tesla Misses, GOOGL Beats: What's in Store for Rest of the Mag 7?",AMZN,-0.2263,-0.18499755859375,0
Ford Earnings In Q2 Fall 35% As Auto Giant Continues To Expect Billions Of Dollars In Losses From EVs,TSLA,-0.4019,-0.2760009765625,0
"Dow Jones Plunges 500 Points; Nasdaq Routed 3.6% As Tesla, Google Sell Off (Live Coverage)",TSLA,0.0,0.08319091796875,1
Tesla Rally Gives Way to Rout as Analysts Sour on the Stock,TSLA,0.0,0.08319091796875,1
Tesla Slumps as Musk Tethers Its Future to Delayed Robotaxis,TSLA,-0.2263,0.08319091796875,1
"Why Artificial Intelligence (AI) Chip Stocks Broadcom, Taiwan Semiconductor Manufacturing, and Arm Holdings Plunged Today",TSLA,0.4767,0.08319091796875,1
"US Equities Markets End Lower Wednesday as Markets Evaluate Tesla, Alphabet Earnings",TSLA,-0.296,0.0568084716796875,1
Tesla Stock Dives As Analysts Weigh In After Earnings Miss. EV Giant Not A 'Trump Trade.',TSLA,-0.1531,0.0568084716796875,1
"A wipeout on Wall Street sends stocks to worst day since 2022, led by drops for tech giants including Tesla, Alphabet",TSLA,-0.6249,0.0568084716796875,1
"Magnificent Seven Stocks: Nvidia Stock Dives Below Key Level; Tesla, Google Sell Off On Earnings",META,0.5994,-1.260009765625,0
"Tesla Misses, GOOGL Beats: What's in Store for Rest of the Mag 7?",META,-0.2263,2.405975341796875,1
"AI Fever Cools, Sending Nasdaq 100 Into $1 Trillion Tailspin",NVDA,0.0,-0.7997970581054688,0
"Why Artificial Intelligence (AI) Chip Stocks Broadcom, Taiwan Semiconductor Manufacturing, and Arm Holdings Plunged Today",NVDA,0.4767,-0.7997970581054688,0
"Magnificent Seven Stocks: Nvidia Stock Dives Below Key Level; Tesla, Google Sell Off On Earnings",NVDA,0.5994,-0.3300018310546875,0
Why Nvidia Stock Is Sinking Again Today,NVDA,0.0,-0.1450042724609375,0
Why Intel Stock Is Falling Today,NVDA,-0.1531,-0.7949981689453125,0
Nvidia Partner Vertiv's Orders Skyrocket Amid Surging Demand for AI,NVDA,-0.128,0.30989837646484375,1
Why Nvidia (NVDA) Stock Is Down Today,NVDA,0.0,0.20000457763671875,1
Update: Market Chatter: Nvidia to Use Samsung's HBM3 Chips in GPU for Chinese Market,NVDA,0.0,-0.5699996948242188,0
JPMorganChase Announcement Concerning Preferred Stock,JPM,0.0,-0.125,0
J.P. Morgan Asset Management Survey Unveils Growing Demand for Improved Retirement Income Support Among Plan Participants,JPM,0.8176,0.3400115966796875,1
"Visa Stock Retreats On ""Rare Top-Line Miss,"" Analysts Trim Targets",V,0.0,-0.2449951171875,0
Visa Stock Drops After Massive Earnings News,V,0.0,-0.779998779296875,0
Oppenheimer Cuts Visa's Price Target to $289 From $299,V,-0.296,0.399993896484375,1
Analyst Report: Visa Inc,V,0.0,0.470001220703125,1
"Market Update: CCI, KO, MCO, TXN, V",V,0.0,-0.42059326171875,0
"Stocks to Watch Wednesday: Tesla, AT&T, Alphabet, Visa",V,0.0,-0.6800079345703125,0
"Visa (V) Q3 Earnings Beat on Processed Transactions, Sales Miss",V,-0.1531,-1.589996337890625,0
"Top Midday Stories: Alphabet Posts Higher Results; Tesla Non-GAAP Earnings Fall; Visa's Higher Results; Thermo Fisher Scientific Adjusted Earnings Rise, Revenue Drops; T-Mobile US, KKR Forming Joint Venture to Acquire Metronet",V,0.2023,-1.589996337890625,0
Q2 2024 Capital One Financial Corp Earnings Call,WMT,0.0,0.1399993896484375,1
3 Stocks That Could Be Easy Wealth Builders,PG,0.7269,-0.4300079345703125,0
